Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I need to get to Cambridge from Peterborough by 13:15 on the the same day as my reservation.|The TR7877 arrives by 13:09. Would you like to book that one?
Yes please. I need 5 tickets.|The Booking was successful, the total fee is 82.5 GBP payable at the station. Reference number is : JU3L0EZL. Is there anything else you need?
No, that is all for today. Thank you so much for your help!|I'm happy I could help you. Enjoy your trip. Good bye.
Can you help me find a moderately priced hotel?|There are a total of 18 moderately priced hotels or guesthouses. Do you have a preference as to lodging type? Also, what area are you interested in?
We would like a hotel and free wifi too.|Okay, I was able to find three with that criteria. Can I recommend the Ashley Hotel located on the north side of town?
Does Ashley Hotel have a 0 rating? That's what I'm interested in.|It has 2 stars. There is also cityroomz which has 0 stars.
Could you give me the postcode, address, and number for cityroomz?|Sure.  Cityroomz is located at the Sleeperz Hotel on Station Road, postcode cb12tz.  you can call them at 01223304050.  Can I be of further help to you?
I also need a train for monday.|Certainly! Where will you be traveling?
From Norwich to Cambridge.|Okay great! Do you know when you want to leave or arrive?
I need to arrive by 13:15 please.|Did you have a specific departure time in mind? You could leave Norwich as early as 05:16 or as late as 11:16 on Monday.
I don't have a preference for leaving.  Could you book it for 8 people and provide the reference number.|I booked 8 tickets on the TR9020 train. The reference number is 111OTIYE
Thanks very much for your help. That's all we needed today!|I'm glad to have been of service, goodbye.
I want to find a guesthouse place to stay with a 3 star rating.|There are four to choose from. Do you prefer the north, south, or west?
Any area is fine I just need info for anyplace where a booking is available.|Can I get your booking information so I can check them for availability?
Yes I need it for 3 people for 5 nights starting from Monday.|The Hamilton Lodge has availability. I went ahead and booked that stay for you. I can always cancel if you change your mind. Your reference number is XFD6ZAFT.
Can I cancel the reservation with you?|I cannot cancel the reservation but you can call to do so at 01223365664.
I also need a train. Leaving from Cambridge.|May I ask what day you would be traveling? And where are you wanting to go to?
Can you help me find a college to visit in the centre?|We have christ's college 	in the centre
Perfect, can I get the address?|Christ's College is located on Saint Andrew's Street and their phone number is 01223334900. Do you need additional information?
how much is its entrance fee?|There is no entrance fee it is free.
I need to find a train departing from Cambridge that arrives at 18:00|What are the other requests?
I need to go to leicester from cambridge, and i need to leave on sunday.|There are many trains available. TR5173 leaves at 08:21 and arrives at 10:06. Would you like me to book that for you?
Great can I get TR5173 booked for 3 people please?|OK I booked that for you.  The total fee is 90.72 GBP and your Reference number is : AVE1068H.
Thanks so much. I appreciate the help. Have a nice day.|Okay thank you for calling.
Hi I'm excited to try an international restaurant in the centre, are they are I can go to?|We have two moderately priced options, the varsity restaurant and bloomsbury restaurant, any preferences?
the varsity restaurant sounds good. Could you book a table for 7 people at 14:45 on saturday?|I have you booked, the reference number is 206RQ761, can I help with anything else?
Thanks! I also need a train from Cambridge to London Liverpool Street.|What day would you like to travel? Is there a time you would like to leave or arrive by?
I will be traveling on Sunday.|There are many trains available on Sunday. Any particular time?
I need that leaves after 15:15.|TR0189 leaves at 15:59. Is that alright for you?
that is very ok|How many tickets would you like?
7 tickets please and I'll also need to get a reference number from you, just in case|7 tickets on TR0189 is 92.96 GBP. You can pay that at the station. Your Reference number is : GAH6RYK1. Can I assist you with anything else?
No. I think you've met all of my needs today. Thank you.|I am glad to help. Enjoy !
I am looking for information in Cambridge|I'd love to help. In the future, these hits require more effort. Want something in the north?
Actually I need a train to Cambridge from Kings lynn on Saturday after 17:00.|The TR1499 leaves at 17:11.
can you book it for 3 and give me the reference number please ?|Booking was successful, the total fee is 23.52 GBP payable at the station. Reference number is : 7FJ6TZUM.
Thank you. I am also looking for a 4 star hotel located on the west side of town.|There are three 4 star choices in the west part of town.  Two cheap and one expensive choice.   Do you have a preference?
Price doesn't matter but I need it to be a hotel.|Huntingdon marriott hotel would be great for you. Would you like reservations?
Yes, please. I will also need the reference number.|I'd be happy to help you book that, I will need the day you're arriving, how many people and how many nights?
It will be 3 people and 3 nights|What day would you like your reservations to begin?
That same day that the train is.|Your booking was successful. Your reference number is NK5JAGZB, is there anything else I can help you with today?
That is all I need today. Thank you for all your help!|Great. You are welcome to use this service again should you need it.
I'm looking for a train that leaves from Cambridge on Tuesday.|Where will you be travelling to?
I will be traveling to Leicester and would like to arrive before 21:15.|When could you like to arrive by?
I would like to arrive by 21:15.|I have the TR8207 that will arrive by 21:06. Would you like me to book that for you?
Yes but I need that to be booked for 3 people. I would like the reference number please. I also need a place to stay as well.|Booking was successful, the total fee is 113.4 GBP payable at the station. Your reference number is ABKFF3SH. What type of place are you looking for?
I would like a 4-star guesthouse in the north in a moderate price range.|Sure thing, I would suggest this one acorn guest house.
Great can you book that for me from Sunday for 2 nights for 4 people.|Your booking was successful. Your reference number is 7ZJ4CTTG. Will that be all for today?
Yes that was all I needed thank you so much.|You are welcome and have a good trip. Thank you for using  Cambridge TownInfo centre. Goodbye.
I love the centre of Cambridge but I always spend too much, are there cheap places to eat there so I can stay within my budget?|Yes, there are several. Charlie Chan serves Chinese food, there's Mahal of Cambridge for Indian, La Raza has Spanish cuisine, and there are a few others. Would you like more?
restaurant should serve indian food is what I need|There are three cheap Indian restaurants in the centre: Kohinoor, The Gandhi, and Mahal of Cambridge. Would you like to make a reservation at one?
HOw about mahal and can you give their phone number and postcode?|Their phone number is 01223360409 and their postal code is cb21rq.
Great.  I'm also looking for a train.  I need to leave after 16:15 from London Liverpool Street.|Which day would you like to travel by train?
I'll need it to be on Tuesday. I'm going to Cambridge.|TR2855 will leave at 17:39, would that work for you?
make a booking for 1 people. Make sure you get the reference number|I have booked the ticket for you, reference 4O9ZT5ZD.
thank you very much.|Is there anything else I can assist you with today?
That is all, make it a great day!|Thanks! You have a great day as well!
I need to find a train to take me to stansted airport.  Can you help me?|I have many trains going to Stansted Airport.  What is your preferred departure and arrival time?
the train should leave Cambridge on Tuesday and arrive by 21.30|TR8261 leaves cambridge Tuesday at 9:40 and arrives at stansted airport by 10:08. Would you like to buy a ticket?
Yes I'd like to book for 3 and get the reference number if I could.|Booking was successful, the total fee is 30.29 GBP payable at the station. Reference number is TXK6U7DG.
Hi, I need a place to stay in the north that includes free wifi please.|I found 12 hotels that match your description. Would you like a specific price range?
I would like a guesthouse that has free parking.|I would suggest the acorn guest house, would you like more info on it?
Yes can you tell me the address please?|Acorn guest house is located at 154 chesterton road, shall I book you a room?
Not now, thanks. I do need to find a train to cambridge that leaves after 17:30.|I'd be happy to assist you in finding a train to Cambridge.  May I please get your place of departure and on which day you wish to travel?
Departing from Kings Lynn on Saturday|Can I book you for train TR9408?
Yes, book for 2 people. And I need the reference number too pleases.|No thank you that will be all
What's fun to do on the south side?|Cinema Cinema is the first attraction listed.
What type of attraction is it and how much does it cost?|Cineworld Cinema is a cinema. I can't find information on the price. You may call them directly at 00872208000. Do you need anything else?
Yes, can you call them for me please. I am not from the area and do not want charges on my phone.|Thank you so much for helping me find an attraction. I have the number and I will give them a call. You have a great day.
Find me a train that leaves on Sunday after 14:00 please|Certainly. Where are you headed?
I am leaving norwich going to cambridge on sunday and I need a train that leaves the station any time after 14:00|TR5234 will leave at 14:16, would that work for you?
Yes. Give me the ref number please.|In order to get a ref number I must complete a booking first. How many tickets would you like me to book for you?
I would like one train ticket please.|Your reservation for 1 ticket on the TR5234 train was successful. Your Reference number is : PGQKG62W. Is there anything else I can do for you?
Yes I am looking for a moderate priced place to eat in the east. Phone #, postcode and food type please|You have three options for moderately priced restaurants. Do you prefer indian or italian food?
I would prefer Italian but Indian would be good as well. I will need the phone number and postcode of the restaurant. Thanks!|The place is called The Curry Prince and the phone number is: 01223566388 and the post code is: cb58jj.
Thanks for helping me with this.  I appreciate it!  Goodbye!|My pleasure.  Have a great day.
Hi, I'm looking for something to do in town. Are there any place like college I can visit in the centre of town?|There are 13 of them.  Downing College on regent's street is free, you might be interested in it.  Do you have any specific needs?
How about the phone number?|Their phone number is 01223334860. Is there anything else I can help you with?
Yes I also need a train leaving after 12:45 from cambridge|Where are you wanting to go to and what day?
I would like to go to Norwich and leave on a Saturday.|There is a train that leaves at 13:36 and arrives at 14:55, can I book you for that?
Yes, please. I need 8 tickets and my reference number please.|I have 8 tickets booked for you and your reference number is 90IJJ88B.
That should be it! Thank you for your assistance!|Thank you for contacting us today, have a nice day.
I am looking for a train. The train should depart from peterborough and should go to cambridge|I can find you a train. What day and time would you like to travel?
I need to arrive by 14:45.|I have trains that meet you criteria for most days of the week, do you have a day or departure time preference?
I want to leave on Wednesday.|TR9545 arrives at 13:38 on Wednesday. Would you like me to book it for you?
Yes, I would. Could you book that for 6 people, please?|The booking was successful, the total fee is 99 GBP payable at the station. The reference number is LNKDUQPE.
thank you so much for your help|welcome again next time.enjoy the journey
Thank you that is all I need.|Thank you for using the Cambridge TownInfo centre. Goodbye for now.
Please help me find a moderately priced restaurant located in the centre. Thanks.|how about Colto, it serves british food, is in the city centre  and is moderately priced
No thanks, is there any turkish restaurants in the same price range and area?|Yes, there are 2 restaurants that fit that criteria, Anatolia and Efes Restaurant.
give me its address,phone number, and postcode please|Anatolia is at 30 bridge street city centre, 01223362372 and postcode is cb21uj.  efes is at king street city centre.  Phone is 01223500005 and postcode is cb11ln.
Thank you. I also need a train going to London Liverpool Street please|What day were you looking to travel?
I would like to travel on Friday, departing from cambridge and arriving by 18:00.|Okay, the TR9956 leaves at 15:59 and arrives by 17:27. Would you like me to book a reservation for you?
yes please and make them three tickets|Booking was successful, the total fee is 49.8 GBP payable at the station. Reference number is : O2OFXV6A. Is there anything else I can assist you with today?
That is all I needed today thank you.|enjoy your stay in Cambridge!
I'm looking for find more information about an attraction I want to visit.  What can you tell me about Gallery at Twelve a High Street?|That's a museum on the east side, with free admission.
What is their postcode?|Their postcode is cb15dh. Is there anything else I can help you with today?
Yes, I am coming from peterborough to cambridge, I need to take a train that will allow me to arrive by 08:15|What day will you be traveling on?
monday is fine|well I can put you on the tr6741 you will arrive at 08:09, how many tickets please?
i want to make a booking for 6 people.|Okay great! Your reference number is HAXFBKAP, is that all you needed?
Yes, thank you for all your help. Have a good day!|Do you need help finding a restaurant? Cambridge has all types of cuisines.
thank you for all your help. Have a good day!|You're welcome. Goodbye
Hello, I'm looking for a train from Cambridge to Norwich.|Certainly, there are many trains going that route. Can you specify which day you'd like to travel?
Sorry.  I want to leave on Saturday after 20:30.|There is a train Saturday at 20:36. Does that work for you?
Yes that works great can I book that for 5 people please?|I have confirmed booking for 5 tickets, your reference number is CID6UHHF.  The total fee is 70.4 GBP payable at the station. Can I help with anything else?
Thanks, that's all I need. Have a nice day.|Great! I'm glad we could help.
Hi, I am looking for attractions in the centre of town. Do you have any recommendations?|There are a lot of attractions to see in the centre, from architecture, colleges, and museums.  What kind of attractions are you looking for?
I'll visit anything. I don't much care the type.|How about Old Schools? It's an architecture attraction that's free.
Ok. What is the address and phone number for old schools?|Old Schools is on Trinity Lane, and their phone number is 01223332320. Can I help with anything else today?
I also need a train to leave after 10:45 from kings lynn|There are a quite a few trains that leave from kings lynn. Did you want to leave on a certain day? Or arrive by a certain time?
The train should leave on monday and should go to cambridge. I don't care about the arrival time.|The TR0684 which leaves at 11:11 would work well for you. Want me to book that?
I would like to book that for 8 people please. Can i get the reference number?|All booked! The reference number is M50TGTUW.
Thank you for the help! Have a nice day.|You have a great day too! Don't forget, when you're in a bind, call the Cambridge TownInfo centre!
I am looking for a place to stay with free wifi and at least a 3 star rating.|Bridge Guesthouse has a three star rating and offers wifi, would you like me to book this place for you?
Can you confirm if the Bridge Guesthouse also has free parking and is in the east?|Bridge Guest House does include free parking but is located in the south. Would you like me to find something in the east instead?
The Bridge guest house would be just fine. Can I get the address, phone and postcode please?|Certainly! The address is 151 hills road phone number is 01223247942 and postcode is cb28rj. Would you like me to book a room for you?
Can you help me find a train arriving at 18:15 going to cambridge?|Sure! Where are you heading in from? And what day?
I am leaving Peterborough going to Cambridge on Monday and I need to get there by 18:15, can you help me with that?|Sure thing, would you like me to book this for you?
I'll need passage for five, but I also need to know what time the last train gets there before 18:15.|which day do you want to travel to narrow down my options
Monday would be best please.|how about TR3021? it leaves at 05:19
That'll do. I'll need 5 tickets.|Booking was successful, the total fee is 82.5 GBP payable at the station . Reference number is : CWLKMZER.  What else can I do for you today?
I need to find some place in the east for multiple sports.  I'd like to get the address, phone number, and postcode please.|It is at colville road, cherry hinton, postcode cb19ej, phone 01223576412.
Okay, thank you.|Is there anything else I can do for you?
no thats all for today|im glad i was of some help
Thanks again, thats all for now.|Okay. Enjoy your visit to cambridge! It's a wonderful place.
I'd like a train to Cambridge on Friday|I can get you a ticket that leaves london kings cross at 05:17 or do you need a later time than that?
Yes, I would need to leave after 08:00 please.|Can I just confirm your departure station please?
Sorry, I will be leaving from Norwich.|I have train TR3292 leaving norwich at 8:16 and arriving in cambridge at 9:35. Would you like to make a reservation for this train?
That sounds good. Can you book it for 7 people?|Yes I will book it for 7 people, and give you the reference number.
Okay, well, let me know when you have that.|Booking was successful, the total fee is 123.2 GBP payable at the station. Reference number is : 9F6CEFRF.
Perfect, thank you!  I'm also looking for a restaurant called Kohinoor.  Can you help me with that as well?|74 Mill Road City Centre is its address
What is the post code please?|Kohinoor is in postcode cb12as. Can I help you with anything else?
No. That's all I need for now. Thank you so much.|Your welcome. Please contact us again.
I need to find a place that serves European food to eat at.|I have 11 results for european restaurants, what area would you like to dine in?
In the centre, sorry didn't I mention that?|What price range are you looking for?
I need one in the expensive range.|There are three options: eraina, michehouse cafe, and darry's cookhouse and wine shop. Which would you prefer?
Wine shop sound good. Could I have their address and postcode please?|Their address is 40270 King Street City Centre and the post code is cb11ln.
Thank you so much. Can you help me book a train too?|I certainly can. Which departure and destination did you have in mind?
I'd like to depart Cambridge on Sunday sometime after 9:45.|Where would you be going to?
I'll be heading to Stevenage.|I have the TR8464 train leaving at 11:21 and arriving at 12:10.  Would that be good?
That sounds perfect! Can you book me 6 tickets for that train please?|I have you booked on that train.  Your confirmation numbers is  NLV3A4JF.
I appreciate all your help. Goodbye.|You're welcome. Have a lovely day.
I need a train going to cambridge that leaves after 14:45.|Where are you coming from?
I want a train department from Cambridge and going to Birmingham New Street on Friday at 14:45.|I can put you on the tr8842 it leaves at 15:17 how many tickets please
Two tickets please.|There is an error in that train booking could I book the TR2519 from Cambridge to Birmingham New Street, on Friday, departing at 15:01?
Yes, that would be great. I'd like to book two tickets and I'll need a reference number, please?|Booking was successful, the total fee is 150.19 GBP payable at the station. Reference number is : LCEXHUAZ.
I'm also looking for a chinese restaurant that is semi expensive. I would like it the same day I arrive.|Sure, there are a number of expensive options.  Did you have a certain part of town in mind?
No specific area for the restaurant.|the good luck chinese food takeaway fits those criteria, can I make a booking for you?
Yes, I would like to book it for 2 people at 10:00 please.  I'll need it for Friday please.  Can I get the reference number please?|Of course.  I reserved the table for you.  Your reference number is D9XHCFDT.
Thank you for your help.|Do you need me to book transport or provide anymore info?
that is all for now, thank you very much.|You're welcome, have a great day!
Can you give me the address to the hospital in Cambridge?|The address is Hills Rd, Cambridge Postcode	:	CB20QQ
I am actually looking for a train on sunday from peterborough.|What is your destination?
Going to Cambridge.|At what time do you want to travel?
I would like to arrive by 11:45. I will need to buy 5 tickets once we find a train.|I have train TR7721 arriving at 7:38 would you like that one?
Yes, five tickets, please. What is the reference number?|Your reference number is CIGYXAW9. Do you need anything else?
I am looking for a train that can take me to bishops stortford leaving on thursday.|What time do you need to leave or arrive?
I need to leave from Cambridge and arrive in Bishops Stortford before 09:15.|There are two early morning trains that will get you there by 9:15, with arrivals at 6:07 or 8:07. Would you like a ticket on one of those?
I will take the later arrival, and I just need 1 ticket. I also will need the reference number.|Booking was successful for TR2617 that arrives by 08:07, the total fee is 10.1 GBP payable at the station. Reference number is : CA1AHDSD.
Could I also get information about places to go in the Town Centre?|said to skip
Can you tell me about attractions located in the centre of town?|Certainly, I have many architectural venues, also cinemas, colleges and some museums. Any preference for type of attraction?
A cinema works, could you pick one for me and provide the etrance fee, phone number, and confirm the attraction type?|Sure, Vue Cinema the phone number is 08712240240. I don't have the entrance fee information. And I do confirm that it is  a Cinema type attraction.
Thank you for all your help today.|You're very welcome. Have a wonderful day and thanks for contacting the Cambridge TownInfo centre!
Hi, I'm looking for any information that you have on the Lensfield hotel in Cambridge.|The Lensfield Hotel is an expensive, 3-star hotel in the south of town, with internet and parking. Would you like me to book it for you?
Yes, please. Can you also give me the phone number?|Sure, the phone number is 01223355017. How many days will you be staying, what day do you need to arrive, and how many people will be staying?
I'm staying for 2 days and it's just myself. What train can I take to depart from the stansted airport that leaves at 19:30?|I only have trains that leave at 20:24 and later on a Friday from Stansted airport. Will this time and day work for you?
I'm actually looking for something on Saturday. Are there any trains on Saturday that leave at 19:30?|Unfortunately, no trains leave at that time
Is there another day you would like me to check?|There are only 4 trains that leave on Saturday
I just need to find a train that leaves at 19:30 for 5 people|Unfortunately there are no trains that leave at this time.
What are the other 4 times of departure for Saturday. I'll need bookings for 5 people and a reference number.|Alright, I booked 5 tickets for Saturday train your reference number is 1R61PO9r. You can pay for your tickets at the station. Is there anything else?
Nope that should be it thanks.|Glad to be of service. Have a wonderful day!
Hello, I need some info on Cambridge Museum of Technology|The Cambridge Museum of Technology is on the east side of the city at the Old Pumping Station on Cheddars Lane. Their entrance fee is 5 pounds.
Can I get the postcode for it as well?|Sure.  The postcode is cb58ld. Can I help you with anything else?
I need a train from cambridge and should go to stansted airport.|It looks like there are hourly trains every day. Did you have a day and time in mind?
Yes, Thursday with an arrival by 16:00.|Train TR6456 leave Cambridge at 14:40 and arrives at the airport at 15:08.  Would you like me to book the train?
Yes I would like to book for 3 people, please.|Reference number is : JRAO2H4A. and the price will be 30.29GBP
Thank you so much, that's really helpful. That's all for now.|Have a great trip
Thank you so much, goodbye.|Have a good day and thank you for contacting us.
I'm looking for a cool place to go in town later.|What type of attraction are you looking for?
I think visiting a College sounds interesting.|What about christ's college?
ok, what area of town is that?|It is located in centre.  Is there anything else you need to know?
Yes, I need a phone number and postcode.|their phone number is 01223334900and code.cb23bu, is that all?
I am looking for a train leaving from Leicester.|You have 133 options to choose from. Where will you be heading?
I need to be in Cambridge by 13:00|What day do you want to travel?
I'm looking to travel on friday.|TR8659 leaves at 10:09 and arrives at 11:54, will that work for you?
Yes. Thank you. Please book it for 7 people.|Booking was successful, the total fee is 264.59 GBP payable at the station . Reference number is : 6Q8I2TIT.
Thanks so much. I also was hoping you might be able to see if there are any parks in the south?|Absolutely! We have 2 parks in the south. I recommend wandlebury country park. It has free admission.
Can I have the postcode and phone number for that park?|01223243830. Postcode, cb223ae. Anything else?
No that will be ll. Thank you.|Thank you for using our service!
Have a good day.  Bye.|Have a great time, bye now!
I need a train to cambridge on saturday|Okay, where are you leaving from?
I need to leave London Liverpool Street sometime after 17:45.|I have three options for you, is there a particular time you would like to arrive by?
No. I need to book this for 5 people. Please send me the reference number too.|I have you booked on TR3940 Saturday leaving at 19:39 and arriving at 21:07.  The reference number is X56OZZGL and it will be 13.28 GBP at the station.
Great.  I also need a cheap 4-star hotel.|Do you have an area preference? Otherwise, I recommend leverton house on newmarket road.
Is it a guesthouse?|It is a guesthouse in the east. Would you like me to make you a reservation?
No thanks. No need to make a reservation but can I get the postcode please?|The postcode for Leverton House is cb58rs.  Is there anything more I can help with today?
No I think that's all I needed, thanks!|It was a pleasure serving you today. I hope you enjoy your stay!
I'm looking for a train that arrives by 15:15 on saturday.|Where would you like to depart from and where do you want to arrive at?
I need it to depart from Broxbourne and arrive in Cambridge.|The TR7846 leaves at 09:32 and arrives at 10:32.  Would that work?
Can I get one closer to my arrival time?|Train TR0279 arrives at 14:32 which is the closest one.
That's perfect. Please book it for 4 tickets.|I was able to book you, your reference number is CEP20AFO., total cost 57.28 payable at the station.. Any other questions?
Yes please. I've heard that Emmanuel College is an interesting place. What can you tell me about it?|It is a college in the centre of town located at saint andrew's street, poscode cb23ap and their phone number is 01223334200.
Great!  I appreciate all the info.  Goodbye!|Good night, enjoy the rest of your evening.
I want to book a train. List all tuesday departures to cambridge.|There are over 200 departures to cambridge on Tuesday, do you have a specific departure place or time?
My departure point is Kings Lynn and I need to arrive at Cambridge by 13:45|TR2616 departs at 09:11 would that work? How many tickets would you like to purchase?
Yes please book that for one person and give me the reference number.|Booking was successful, the total fee is 9.8 GBP payable at the station . Reference number is : TT953CJR.  Can I help you with anything else today?
I am also looking for a place to stay.|What are would you like to stay in?
meh doesn't really matter. just moderately priced...|I also have many pricing options and amenity options. Could you give me some direction?
Hello, I'm looking for places to go in the city centre.|There are 44 possible options. What type of attraction are you interested in?
I don't mind what kind.|How about the Vue Cinema located at the grafton centre, east road?
Sure, what is the entrance fee? Also I need a train that departs from Stevenage on Thursday.|I can book a 05:54 for you.
I need the train to leave after 15:45 please. Also do you have the entrance fee for the Vue Cinema?|Sorry, but I do not have the entrance fee for Vue Cinema in my database. I do have a train from stevanage at 15:54 for you, though.
Great can you make that reservation on the train for 7 people and send me the reference number?  Can you also send me the phone number for the Cinema?|The train is booked reference number 3YY4QV9P, and the phone number of the Vue Cinema is 08712240240
Thank you for your help.|You're very welcome, is there anything else I can do for you?
No, that's all I need today. Thank you for your help.|Have a great day then!
I want to board a train on Thursday. Can you help me with that?|Yes of course! Where are you traveling to?
I am travelling to Cambridge and it should depart from London Kings Cross.|I have ten trains doing that trip on Thursday. Any specific times?
I need to arrive by 09:00 if that is possible.|Yes it's possible. We have 2 trains departing at 05:17 and at 7:17. Which one would you prefer?
Please make a booking for 6 people on the 7:17 train.|I have booked your seats here is the information:Booking was successful, the total fee is 141.6 GBP payable at the station . Reference number is : PY3UDDOV.
I am also looking for a guesthouse.|There are 24 guesthouses in the city to choose from. Do you have an idea of what part of town you'd like to stay in or what your price range is?
I definitely need free parking also, please.|There are 21 guesthouses fitting your requirements in all areas. The guesthouses are in both the cheap and moderate price ranges.
I want it to be 4 stars and moderately priced|I have the Acorn Guest House that meets your criteria. Would you like me to book it?
No, not right now but do you have their address handy?|Sure, they are located at 154 chesterton road, postcode cb41da.  Do you need any further assistance today?
No thank you. I appreciate all you have done to help me.|Your welcome. If you change your mind and want reservations, feel free to contact us again.
Of course I will.  Thank you also.|You are welcome enjoy.
I need to find a train going to londons kings cross that would arrive by 17:15|I have 21 trains that match your request. Where will you be departing from?
Leaving Cambridge this coming Sunday.|I'm sorry, we don't have any trains arriving by 17:15. The earliest train will arrive at london kings cross at 19:51. Do you need anything else?
No thanks.  Go ahead and book the train for 4 people and please provide the reference number.|Your booking was successful, the total fee is 75.52 GBP payable at the station . Your reference number is : UMS71SR7.  Your train will leave at 19:00.
Thank you. I also need to find a place to stay.|Any particular area you would like to stay?
In the East part of town, please. I need free WiFi.|Okay! Would you like to stay in a hotel, or in a guesthouse?
i dont mind either.|We have seven places, any preference on price or rating?
I need a 4 star place that has free wifi.|Okay! What price range would you like?
I don't really have a preference.|Ok. We've narrowed to 6 options. Do you want parking?
No parking is not a concern of mine.|Would you like to try allenbell?
Yes, please book me for 4 people, for 5 night starting on Tuesday.|I have made those reservations and the reference number is  I4K0OYPF.
Thank you that is all I needed.|You're welcome. Have a great day!
I am looking for a train to cambridge. I would like something on sunday to arrive by 18:30|What is your departure point?
My departure will be from Cambridge.|And what is your destination city?
I need to go to Peterborough.|What time do you need to leave by?
I just want to get there at or shortly before 18:30.|I found the perfect train!  TR7771 will get you there at 18:24.  Would you like me to book this for you?
Yes, please book me for 6 people.  My birdwatching club is taking a trip together.|Ok, your booking is complete for 6 people. The cost is 79.19 GBP, payable at the station. The reference number is 8W0OSFM6.
i place want a place to go in the centre|What are you into? Do you like theatre? Museums? We have plenty of attractions in the centre and if you tell me what you enjoy I can recommend one
I would like a museum in the centre please.|I'd like to recommend whipple museum of the history of science, at free school lane. Admission is free.
Is that the full address for the museum? Free School Lane?|Yes it is their full address and the postcode is cb23rh and their telephone number is 01223330906. May I help you with anything else today?
Thank you. That is all that I need.|Okay. Glad I could be of help.
Yeah, could you find me a train? I'm in Cambridge, and I'd like to go over to Birmingham New Street.|There are 133 trains making that trip, do you have a day and time you would like to go?
Yes, I'd like to leave after 21:00 on Wednesday.|I have a train that departs at 21:01 and two more each a hour later than the first. Which train would you like to book?
I will take the 21:01. the ticket is just for me and I would like a reference number after the booking is completed.|I have successfully booked you for the TR7935 train leaving at 21:01. Your reference number is E9ZIOMAN.
Great, thank you! I'd like to find a place to stay, too. I'm thinking of something in the moderate range with free parking. Any ideas?|I have 12 guesthouse and 2 hotels in that range. Is there a certain area of town you would like to stay in?
No preference on area, but can you see if there are any that have 4 stars?|I have 3 in the north, 1 in the south, and 1 in the east.
I'll take whichever one doesn't include Internet.|It looks like all 9 choices do include Internet. Would you be willing to use one of those?
Would you like to book one of those today?|I could certainly help you book one if you don't mind that it has internet. Would you like to try the Acorn Guest House?
Okay, let's try that one.|What day would you like to book the hotel for?
Does it have four stars?|Yes, it has 4 stars and includes free parking.
That sounds perfect. Can I have the postcode and phone number please?|Sure, the postcode is cb41da and the phone number is 01223353888.  Can I help with anything else today?
No that sounds perfect. Thank you for all your help.|You're welcome. Have a nice day.
I am  traveling to Cambridge and looking forward to try local restaurants.|I can help!  What kind of food are you looking for?
Still deciding, can I set up a train ride first?  If would be from londons kings cross to cambridge, on saturday leaving after 11:00AM.|The TR7309 leaves after 11:00. If you'd like to make a booking, I'll need to know how many tickets you'd like.
I need 4 tickets. How much will that be?|The tickets are each 18.88 so 75.52 in total
Ok. Can you complete the booking for 4 people and then give me the reference number?|I was able to book you. Your reference number is H9AGMLJM.
Yes, I would like to find a place to eat. Please find me a moderately priced restaurant in the centre.|there are quite a few moderately priced restaurants in the city centre. do you have a preference on cuisine?
Nothing specific, anything in the centre is fine.|May I recommend the very popular Efes restaurant serving turkish food in the centre of town in the moderate price range.
That sounds like a great place to eat. Can I get their phone number?|The phone number is 01223500005 .  Would you like me to call and make a booking for you?
No, thank you. That will be all.|Is there anything else I can help you with?
That is all for today. Thank you!|you are very welcome. have a great day.
And you as well, You've been a great help!|Let us know if you need anything else.
I need to find a train out of King's Lynn that will arrive by 17:45.|Can you please provide me with destination of the train so I can better assist you?
Cambridge, and it will be on sunday.|I have train TR6003 leaving cambridge at 5:11 and arriving at 5:58 on sunday.
That sounds great. Can you book me 4 tickets on that train please?|Booking was successful, the total fee is 31.36 GBP payable at the station . Reference number is : 8K88DU7K.
Awesome! I also need help finding a place to stay in the South. Not driving so don't need parking.|I have 4 options available.  Do you have a preference of guesthouse or hotel and price range?
I would like a hotel and my only preference, besides being in the south, is I would like it to have a 3 star rating please.|The Lensfield Hotel meets your criteria. Would you like me to book it?
Yes I'll need it for Sunday for 2 nights and 4 people.|You are booked for 2 night for 4 people starting Sunday at the Lensfield Hotel. Your reference # is ICM07YWC. Can I help you with anything else today?
That takes care of everything for me, thank you! Bye!|You are very welcome! Have a wonderful day, goodbye!
I'm looking to get on a train on Saturday.|From where to where?
I'm leaving from London Liverpool Street and I need to arrive in Cambridge by 09:30.|the TR2503 will get you to your destination at 9:07.
Perfect. Can you book that for me for 3 people?|Booking was successful, the total fee is 39.83 GBP payable at the station. Your reference number is YSVSLY1L. Is there anything else you need today?
I also need a hotel in the East.|Do you need parking at the hotel?
i am looking for a place to stay, a hotel maybe, that has free wifi and should be a 4-star|We have several that might suit you. The Cambridge Belfry is quite economically priced in the west, and there are also The Huntingdon Marriott and the University Arms.
I'm looking for a cheap one, which hotels fit into that price range?|The cambridge belfry is in the west and cheap. Would you like to me to book that for you?
What type of hotel is it and what is the postcode?|It is a regular hotel and the postcode is cb236bw. Would this one interest you?
Maybe, I'll decide once I get there. Speaking of which, can you help me with a train to Cambridge?|Sure I can help with that, what time would you like the tickets for and how many?
I'd like to leave after 10:30 and depart from birmingham new street on Tuesday.|Train TR0734 leaves at 12:40.  Can I book you a seat on it?
