am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
No I think that's all I needed, thanks!|It was a pleasure serving you today. I hope you enjoy your stay!
I need lodging in Cambridge that has free parking. I don't need internet, though. What have you got?|We have 29 entries that match your criteria. Do you have any other preferences?
I also need free parking included and I would like it to be a hotel.|The ashley hotel in the north has free parking.
The Ashley hotel does not have internet is that correct?|The Ashley hotel does have free wifi.
Oh, that's great! What's the address for The Ashley?|The ashley hotel 74 chesterton road. Would you like to book a room?
Yes, I would like to book a room.|When would you like your reservation to start, how long would you like to stay, and how many are in your party?
I also need a place to dine serving modern american food in the centre.|before we get to your restaurant inquiry could you give me some information on your hotel stay? When would you be staying? How many days? How many would be joining you?
Actually, I will go ahead and book myself later. But, if you can help me find a moderately priced restaurant in the centre of town that would be great.|There are many moderate restaurants in the centre but no American restaurant.  Would you be interested in Asian, Brittish, or chinese?
How about a British one then?|The Oak Bistro is located at 6 Lensfield Road. Would you like for me to book a table for you?
Yes please. Please book a table for 5 at 12:30 on friday.|Yes I have done that for you and your reference number is BKV4ED6B.
Thank you. I also need to get a taxi to go between the two places.|I have gone ahead and booked that Taxi for you.   The Taxi will be a blue Volkswagen and the Taxi contact number will be 07081400797.
Great thanks! That's all I needed.|Thank you for choosing Cambridge TownInfo Centre!  Have a nice trip!
I want a hotel with free parking in the center of town.|Sure, I can help you with that.  Do you have a price preference?
Something moderate would be preferred.|I am sorry but there is nothing in the moderate price range.  Would you like another price range?
What about a moderate hotel located in the North?|I have found 9 hotels in north. Do you have any other preferences so we can narrow them down?
No other preferences.  Can you pick one and book it for 6 people for 3 nights starting Friday|I was able to book your party of 6 into Acorn Guest House, reference 1IJ5VMO1. Is there anything more today?
Great I am also looking to go to a museum.|I have found 23 museums. Is there a particular are of the city you interested in?
No, I don't have any preference, other than it's a museum. Could you pick one and give me the area and postcode please?|Broughton House Gallery is located in the centre area and the postal code is cb11ln. Is there anything else I can help you with?
Yes, I need to book a taxi as well to leave the hotel by 13:45.|Booking completed!
Booked car type	:	white tesla
Contact number	:	07199782838
anything else i can help you with?
No that was it. Thank you!|Thank you for contacting Cambridge TownInfo centre. Goodbye!
I need a find restaurant in the moderate price range in the west part of the town|We have British, Indian or Italian to choose from in that category.  Do you have a preference?
No, I do not have a preference.|I'd recommend the Prezzo. It's an Italian restaurant. Would you like to book a table?
Yes, we would like a reservation for Wednesday.|Can you tell me how many guests and what time you would like the reservation for?
For 3 people, at 11:30 please.|I've reserved a table for three at 11:30 on Wednesday. Your reference number is HJKOKG94. Is there anything else I can help you find in the area?
I'm looking for information on worth house.|Worth House is a cheap 4-star guesthouse on the north side of town. They're located at 152 Chesterton Road, cb41da.
I want to book Worth House for 3 people for 4 nights starting on Wednesday.|Booking was successful.
Reference number is : UOVCEW8B.
I also need a taxi to get to the restaurant from the hotel.|What time do you need to be picked up and from where?
I'd like it to go from the Worth House to the Prezzo. It can pick me up any time, as long as it arrives by the booked time.|Booking completed!
Booked car type	:	white lexus
Contact number	:	07055220533
I think that is all I need. Have a nice day.|Thank you. You do the same!
Hey, I need a moderately priced place to stay.|what area of town could you love to stay?
The area doesn't matter, but I do need free wifi.|Seventeen locations meet your criteria. Would you prefer a guesthouse or a hotel?
A hotel is fine whichever you recommend.|I see Ashley Hotel in the North that is a 2 star hotel has free wifi would you like me to book that hotel for you?
Yes, please for 3 people on Monday.|lovely, how many nights will you be staying?
I need to stay for 2 nights with 3 people from Monday.|I was able to book your room for 3 people for 2 nights starting Monday.  The  Reference number is : 5GESSI5X.
Thank you, I'm also looking for some places to go in town. Something along the lines of college, I also need the address and postcode.|Christ's college is located at saint andrew's street and the postcode is cb23bu
Thank you for your help!|Glad to assist, enjoy the rest of your day.
I want to book a train. List all tuesday departures to cambridge.|There are over 200 departures to cambridge on Tuesday, do you have a specific departure place or time?
My departure point is Kings Lynn and I need to arrive at Cambridge by 13:45|TR2616 departs at 09:11 would that work? How many tickets would you like to purchase?
Yes please book that for one person and give me the reference number.|Booking was successful, the total fee is 9.8 GBP payable at the station .
Reference number is : TT953CJR.  Can I help you with anything else today?
I am also looking for a place to stay.|What are would you like to stay in?
meh doesn't really matter. just moderately priced...|I also have many pricing options and amenity options. Could you give me some direction?
Good morning. I am planning a visit to Cambridge and need some help with details. I hear there are a lot of places to see.|There are plenty of attractions. What area of town are you interested in?
I am interested in the east part of town.|There are 10 different attractions on the east side. There's a boat, a couple of entertainment venues, a few museums, a multiple sports complex, a park, and a swimming pool.
Great!   What I really need is a guesthouse in the East,  What do you have available?|There are 6 guesthouses in the east area. What price range are you looking for?
Price does not matter but it needs to have free parking.|5 places offer, I recommend warkworth house, would you like me to book you?
I would like to book for 5 people for 4 nights starting on Monday|The booking was unsuccessful. Do you have a preference for another day?
See if you can book 2 nights, please.|A reservation for 2 nights was no problem. Your reference number is OZ6M16DN.
Okay, what attractions are nearby the hotel?|what kind of attraction would you like? there are plenty
Take your pick. I am open to anything as long as it is in the east area.|I would recommend the funky fun house, they are located at 8 mercers row, mercers row industrial estate and reachable at 01223304705
Alright I'm going to need a taxi to get to both places, I'll most likely leave the fun house at 6:00.|Alright it is done, look for a white toyota. The contact number is 07951320030 if you have any further questions.
Fantastic, you've been a great help!|Glad to be of service to you, Good bye.
Hello, I am planning a trip and need some information on a particular hotel.|Please give me the name of the location.
looking for lensfield hotel, kindly find out whether it has internet and the area|the lensfield hotel is in the south part of town and has internet.  Would you like their phone number.
no but am also looking for places to go in town. The attraction should be in the type of college and should be in the centre|i recommend gonville and caius college	located intrinity street,cb21ta. do you need the phone number?
Yes I would like the phone number.|The college can be reached at 01223332400. Please let me know if you need anything else.
I also need a taxi to get to the college. I want to leave my hotel at 04:45.|A black honda will pick you up at that time, if you have any other questions you can contact them at 07444688519.
Great! Thank you so much for your help. That's all I will be needing for today.|You're welcome. Have a great day!
Can you help me find a train going to cambridge leaving after 21:15?|sure, do you know what day you're traveling?
Our reunion is on Tuesday so I want to leave that day.|Great!  I can help you with that.  Where would you like to leave from?
Kings lynn. Please give me the price, travel time, and train ID|I have two lines. 22:11 is the closest to your departure. Does that work for you?
Sounds good to me. Oh, and I'm also looking for a place to stay.|The TR9704 train leaves Kings Lynn at 22:11. The travel time is 47 minutes.  The price is 9.80 pounds. Do you know the area you'd like to stay?
No, area doesn't matter.  I do want a 4 star guesthouse though.|I have many to choose from. What area do you prefer?
No specific area but i do need free wifi and need it to be in the moderate price range.|There are 11 locations, would you prefer one with parking included?
it doesn't matter book a room for 3 for 1 night the same day, and I'll need the reference number too please|Okay i booked you at the Acorn and your reference number is G5FTA5L5.
That's all I need, thank you so much! Have a nice day!|Thanks so much that is great.
I will certainly use Cambridge TownInfo again. Goodbye.|Thank you for using our system today!
I going to be staying in the centre part of town, what is there to do at that area?|There's a lot of popular attractions in the centre of town, including boating, cinema, museums, nightclubs, and much more. Do you have a specific preference?
No, I don't have a preference. What's a good place to go to?|I would suggest the Museum of Archaelogy and Anthropology.  It is located at University of Cambridge, Downing Street and has free admission.
May I get the postcode, phone number for that attraction?|Yes, the postcode is cb23dz. The phone number is 01223333516. Can I help you with anything else?
Yes, I'd like information about the Alpha Milton guest house.|alpha-milton guest house is a moderate priced 3 start guesthouse in the north, it does not have free internet or parking. They are located at 63 milton road.
That sounds good please book that for 3 people starting on saturday for 5 nights.|You are all set, the reference number is C3JA0EZJ, any further questions today?
I'd like to book a taxi to take me from the museum to the hotel. If possible, I'd like to leave the museum no later than 24:45.|Booking completed!
Booked car type	:	grey ford
Contact number	:	07511988882
Great. Thank you, that will be all for now. Have a great day.|Okay. Thank you very much.
I'd like to find hotels in the cheap price range that offer free wifi.|There is one hotel that matches your search. It is the cambridge belfry in the west area. Can I book that for you?
No thank you, just the address and phone number please.|They are located on back lane, cambourne. Is there anything else I can help you with?
Can you book it for me. 3 people, 4 nights, Sunday. Reference number, please.|Booking was successful.Reference number is : 1CU5LU5X. is there anything else i can help?
Thanks.  I am also looking for a place to eat in the north.  Same price range as my hotel.|There are 2 choices - would you prefer indian or Italian food?
I would prefer italian.|da vinci pizzeria serves italian food it is in the north of town
OK, I will need to make a reservation for the same group of people at 12:45 on that same day.|You're all set. Your Reference number is : 7J5INWLY. Can I assist you with anything else?
Great. Thank you for your help.|It was my pleasure, enjoy the rest of your day.
Can you help me find an expensive restaurant that serves British food?|There are 6 matches, do you have a location preference?
Is one of them located in Centre? I will be staying over there and would like something close.|The Fitzbillies Restaurant is located in the city's centre at 51 Trumpington Street.  The phone number is 01223352500.
Thank you very much for the assistance.|Would you like a reservation?
No. I am also looking for a hotel. Alexander Bed and Breakfast.|The Alexander Bed and Breakfast that is on 56 saint barnabas road? Would you like me to book it?
yes. i would like to stay starting wednesday for 5 nights with 6 people.|Booking was successful. Reference number is : QVRVE9AS. Can I help with anything else today?
No that will be all for today. Thanks so much for all your help. Goodbye.|please contact us again in the future. goodbye.
I need to find a hotel to stay in, some place with free parking. Thank you.|i have 29 options for you
Okay, thank you! I would like a 4-star hotel.|That narrowed it down some, but we still have plenty of options available.  Is there anything else you're looking for like a certain price range or maybe internet?
Any place in the south area of town?|I found two 4-star hotels in that area: Aylesbray Lodge Guest House and Rosa's Bed and Breakfast.
Yes the first hotel will do great, I need to book for 4 people and 2 nights starting from Tuesday.|Booking was successful. Reference number is : PZ6RF1H0. is there anything else i could help you with?
I would also like to find a pricey Gastropub,|There are three expensive gastropub restaurants. Would you rather be in the centre or the east?
I would prefer the south.|Unfortunately the only restaurants that meet your criteria are in the centre or the east.
Can you look again? I thought I saw one in the south area the last time I was in town.|There are none in the south side of town.
Can you check all the gastropubs in town?|There are 4 gastropub restaurants in town. Three are located in the centre, one is in the east. Three are expensive, and one is moderate.
I'm sorry, I need a restaurant in the south.|There are no gastropub restaurants in the south. Would you like a different kind of food?
Yes, let's try an Italian restaurant in the south, please. There should be one.|I have two Italian restaurants in south. We have the pizza hut cherry hinton and frankie and bennys. Which would you prefer?
I'll go with frankie and bennys. Do you have their phone number and address?|Yes. Their phone number is 01223412430 located Cambridge Leisure Park Clifton Way Cherry Hinton. Anything else?
Can you help me book a taxi?|I can book a taxi but I need to know where you need to be picked up and dropped off. Is there a certain time?
I need to leave the hotel by 6 and head to the restaurant.|I have booked you with a red honda taxi. Their phone number is 07534551524. Can I help with anything else?
No thank you, you were helpful|Thank you, any have a great day.
I want to board a train on Thursday. Can you help me with that?|Yes of course! Where are you traveling to?
I am travelling to Cambridge and it should depart from London Kings Cross.|I have ten trains doing that trip on Thursday. Any specific times?
I need to arrive by 09:00 if that is possible.|Yes it's possible. We have 2 trains departing at 05:17 and at 7:17. Which one would you prefer?
Please make a booking for 6 people on the 7:17 train.|I have booked your seats here is the information:Booking was successful, the total fee is 141.6 GBP payable at the station .
Reference number is : PY3UDDOV.
I am also looking for a guesthouse.|There are 24 guesthouses in the city to choose from. Do you have an idea of what part of town you'd like to stay in or what your price range is?
I definitely need free parking also, please.|There are 21 guesthouses fitting your requirements in all areas. The guesthouses are in both the cheap and moderate price ranges.
I want it to be 4 stars and moderately priced|I have the Acorn Guest House that meets your criteria. Would you like me to book it?
No, not right now but do you have their address handy?|Sure, they are located at 154 chesterton road, postcode cb41da.  Do you need any further assistance today?
No thank you. I appreciate all you have done to help me.|Your welcome. If you change your mind and want reservations, feel free to contact us again.
Of course I will.  Thank you also.|You are welcome enjoy.
Can you help me find a hotel in the North part of Cambridge?|I have two moderately priced hotels in the north for you.  The Ashley Hotel and the Lovell Lodge. Would you like me to book one?
Does it have internet?|They do both have internet.
I would like to book the Ashley Hotel.|Great I can take care of that.  How many people?  How long will you be there and when will your stay start?
There will be 7 of us arriving Sunday.  We will be staying 3 nights.|I was able to book the room for you the reference number is HQKA3TBW. Can I help you with anything else?
Yes I am needing a restaurant that is the same price range as my hotel and in the same area.|There are two; The Golden Wok which is a Chinese place, and The Nirala, with Indian cuisine. Which would you prefer?
I will go with The Nirala since I love Indian food. Please book it for 11:00 for the 7 of us on Sunday.|Booking was successful. The table will be reserved for 15 minutes.
Reference number is : E4J0YE8W. Anything else.
Yes, I want a taxi too. I'll need contact number and car type. It should pick me up at the hotel and arrive at restaurant by 11:00|Okay, be on the lookout for a grey honda. The contact # is 07374179224
thanks very much to you! I am done now. Farewell!|You're welcome and enjoy your stay.
Hello. I am looking for a hotel that is cheap and also has a 2 star rating.|There are no hotels that fit that criteria would you like to try something else?
No, I really need a hotel. It should be cheap with two stars. I don't care what  area of town it is in.|There are zero hotels matching those requirements.
Ok, then I guess I will need to be more flexible with my budget. How about a 2 star hotel that is moderately priced?|We have 2 options in the north with 2 stars in the moderate price range - ashley hotel and lovell lodge. Do you have a preference?
Um, i like the sounds of the lovell lodge. Can you give me a phone number?|Yes certainly that would be 01223425478.
I also need a train that leaves Ely after 8:30.|What day will you be traveling?
I'll be traveling on Sunday and I'll be going to Cambridge.|TR4212 leaves at 09:35, would you me to book you?
What time would I be arriving in Cambridge? What would my travel time be? Thanks.|You would arrive at 09:52. The ride is only 19 minutes.
Thanks! That's all I need.|Have a great trip!
Thanks and goodbye!|Have a great time!
I am looking for a place to dine in Cambridge|There are 110 place to dine in Cambridge. May I narrow the search by area, price range, and/or cuisine?
I would like a place in the centre of town, serves Indian food and on the expensive side.|The Curry Garden is an expensive restaurant located at 106 Regent Street City Centre. Their phone number is 01223302330. Would you like me to book a reservation for you?
I will call them, thank you for your help.|You're welcome. Have a great rest of your day!
I am also looking for a hotel called the University Arms Hotel.|I found it. Would you like me to book a room for you?
Yes, I would like to book 5 nights starting Wednesday for 6 people. May I also have the reference number please.|Okay great! Your booking was successful. Your reference number is HMUH9F2T.
Great, can I also get a taxi as well.|Certainly! Is there any particular place you would like the Taxi to pick you up?
Yes from the restaurant to my hotel. I need to leave the restaurant by 17:00.|OK, we can get you a Blue Honda at 17:00 from the restaurant to the hotel .
Great, thanks. Could you give me their contact number?|Sure thing. Their contact number is 07128800156. Is there anything else I can help you with?
Not at this time but your help has been appreciated.|Great, thank you for using our system!
Hello i'm looking for places to go in cambridge please.|The Cineworld Cinema is located south at Cambridge leisure park, clifton way. Is there a specific activity you had in mind?
I need a place in the centre.|All Saints Church is in the centre area. The entrance fee is free. Would you like to book that?
Yes, can I get the postcode.|Certainly. All Saints Church is in postcode cb58bs. Can I help you with something else today?
Yes please, we'll be needing somewhere to stay the night. What can you tell me about the Cambridge Belfry? I've heard it's pretty nice, is that true?|It is four stars. What else would you like to know?
Does it have free parking?|The Cambridge Belfry does have free parking. Would you like me to book it for you?
Not right now, but could I please get the address for the hotel?|The Cambridge Belfry is located at back lane, cambourne.  The phone number is 01954714600 and postcode cb236bw.  Is the anything else I can help with?
No that's it, thank you.|I hope you enjoy your stay.  Have a nice day.
Have a nice day!|Thank you. Have a nice day as well. Good bye.
Yes. I need a hotel with free parking. I would like it in the moderate price range.|We have quite a few of those. Do you have any other preferences? Price range, perhaps?
Yes, I am looking for a hotel in the moderate price range.|There are 14 hotels that meet your criteria, do you have a preference in the area?
No I don't care about the area, but I do want a hotel and not a guest house.|Ashley hotel is a hotel located in the north part of town and is in the moderate price range. It also offers free parking and internet. Does this suit you?
That sounds good, can you also provide me with the star rating for it? Thanks|The Ashley Hotel is a 2 star hotel.
Great! I'm also looking for a place to go in the centre. Any suggestions for something fun?|There is a museum on 98 King Street named Broughton House Gallery.
That sounds interesting! May I have their phone number please? And what is the fee to get in?|Yes, their number is 01223314960 and the entry fee is free
I will also need a taxi to get me between the two places, the Ashley hotel and Broughton House.|I am sorry. There must have been a system glitch. The phone number for the broughton house gallery is 01223314960 and the entrance fee is free.
Thank you for correcting that. Can you book a taxi for me? I'd like to go from the Broughton House to the hotel, and leave by 5:30.|I booked you a yellow volkswagen and their number is 07162096037
Thank you! I have everything I need now.|Okay great. Do not hesitate to call us if there is anything else you need.
I'm looking to stay at a 4 star hotel that includes free parking.|Sorry there are no four star hotels that offer free parking would you like to try something different?
Oh no.  Could you look to see if there are any 4 star hotels that offer free wifi instead and are in the north section?|I have about 8 different options for you. All are guesthouses. I have one that is cheaper and the rest are moderately priced. Do you have a preference?
I don't, so please pick one. I will need the price range and phone number.|The Archway House is a nice moderately priced guesthouse. Their phone number is 01223575314. I can make a booking for you if you'd like.
No thank you. I am looking for a train for sunday though.|What are your departure and destination sites?
Going from Broxbourne to Cambridge.|When would you like to arrive?
I need to leaver sometime after 11:30.|want to know the price?
No thank you, but I do need to know the travel time please.|Travel time would be 60 mintues
Okay. That's all I need. Thanks and bye!|Thanks for using our service. Have a great day.
I need a place to stay in cambridge that has wifi, and free parking please.|There are 29 places that match your request. Would you have a price range in mind or type of place?
The price range should be expensive and it should be a hotel.|There are 5 hotels that match your request. Was there a specific area you wanted to narrow it down to? We have hotels east, west, south, and in the centre,
I will take something in the centre of town. How many stars does that one have?|There are two hotels that meet your request. Gonville Hotel is 3 stars and University Arms Hotel has 4 stars. Would one of these work for you?
Yes those are fine. I also need find an attraction in the centre of town to visit.|We have 44 attractions to choose from. Is there anything specific that you would like to see?
Anything will do, but I would like the address, entrance fee, and attraction type of whatever you pick.|all saints church is found in the jesus lane and entrance fee is free. its postal code is cb58bs
I need to find a train going to londons kings cross that would arrive by 17:15|I have 21 trains that match your request. Where will you be departing from?
Leaving Cambridge this coming Sunday.|I'm sorry, we don't have any trains arriving by 17:15. The earliest train will arrive at london kings cross at 19:51. Do you need anything else?
No thanks.  Go ahead and book the train for 4 people and please provide the reference number.|Your booking was successful, the total fee is 75.52 GBP payable at the station .
Your reference number is : UMS71SR7.  Your train will leave at 19:00.
Thank you. I also need to find a place to stay.|Any particular area you would like to stay?
In the East part of town, please. I need free WiFi.|Okay! Would you like to stay in a hotel, or in a guesthouse?
i dont mind either.|We have seven places, any preference on price or rating?
I need a 4 star place that has free wifi.|Okay! What price range would you like?
I don't really have a preference.|Ok. We've narrowed to 6 options. Do you want parking?
No parking is not a concern of mine.|Would you like to try allenbell?
Yes, please book me for 4 people, for 5 night starting on Tuesday.|I have made those reservations and the reference number is  I4K0OYPF.
Thank you that is all I needed.|You're welcome. Have a great day!
Yeah, could you find me a train? I'm in Cambridge, and I'd like to go over to Birmingham New Street.|There are 133 trains making that trip, do you have a day and time you would like to go?
Yes, I'd like to leave after 21:00 on Wednesday.|I have a train that departs at 21:01 and two more each a hour later than the first. Which train would you like to book?
I will take the 21:01. the ticket is just for me and I would like a reference number after the booking is completed.|I have successfully booked you for the TR7935 train leaving at 21:01. Your reference number is E9ZIOMAN.
Great, thank you! I'd like to find a place to stay, too. I'm thinking of something in the moderate range with free parking. Any ideas?|I have 12 guesthouse and 2 hotels in that range. Is there a certain area of town you would like to stay in?
No preference on area, but can you see if there are any that have 4 stars?|I have 3 in the north, 1 in the south, and 1 in the east.
I'll take whichever one doesn't include Internet.|It looks like all 9 choices do include Internet. Would you be willing to use one of those?
Would you like to book one of those today?|I could certainly help you book one if you don't mind that it has internet. Would you like to try the Acorn Guest House?
Okay, let's try that one.|What day would you like to book the hotel for?
Does it have four stars?|Yes, it has 4 stars and includes free parking.
That sounds perfect. Can I have the postcode and phone number please?|Sure, the postcode is cb41da and the phone number is 01223353888.  Can I help with anything else today?
No that sounds perfect. Thank you for all your help.|You're welcome. Have a nice day.
Hi, i want an expensive place to stay in the town centre please.|There are 2 places, gonville hotel and university arms hotel, any other preference or questions before I book?
Yes, do either include free wifi or free parking?|Yes, both of them have free wifi & parking.  Would you like to book this for you? Just tell me which hotel you prefer.
Book the gonville hotel for 3 people and 3 nights starting Tuesday. May I have the reference number too?|I have booked your hotel. Your reservation number is C0ASBZHA
Thank you! I'm also looking for some places to go around the hotel. Do you have any recommendations?|I would recommend the All Saints Church in that area. Would you like more information regarding it?
Could I get the address, postcode and attraction type?|Sure! It's architecture in the centre of town.It has postcode to cb58bs
Thank you very much. I think that's all.|Well, thank you for booking through our service. Have a pleasant day!
I'm visiting the north side of Cambridge, can you help me find a hotel there?|We have a few 2 star hotels with free internet and parking.  Can I get information on one of those?
Are there any 4 star?|I'm sorry no there is not. May I search gain with different criteria?
How about Guesthouse, instead?|Ah, there are a number of guesthouses with 4 stars in the north. Do you need free internet or parking?
Internet or parking doesn't matter. Which guesthouse do you recommend?|I recommend Archway House. They are located at 52 Gilbert Road in postcode CB43PE. Would you like me to book a room for you?
Yes, please. There will be 5 of us for 4 nights, starting on Monday.|You're all ready to go. Reference number is 3CM9X6CQ. Anything else I can help you with?
I would also like some help finding info on the La Margherita restaurant.|I will look that up for you.
It has been a few minutes and I swear I hear snoring on the other end, are you there?  Can I get that info?|I've located LA Margherita.  What information would you like about the restaurant?
I need to book it for the same group the same day at 20:00|I was able to book it, reference number is 4IOG1MD6.
Great.  I was also interested in getting a taxi, can you help me with that?|Absolutely! From where to where?
I would like to commute between the hotel and restaurant. I'd like to be at the restaurant by the booked time.|Okay what time is that?
That time is 20:00.|Okay! I've booked you a white Ford. The contact number is 07081197533. Can I help you with anything else?
no that is OK for today|Okay, well if you think of anything else, you know where to find me! Otherwise, have a wonderful trip!
I'd like to go to an attraction in the east side of town.|There are 10 different attractions on the East side of town. Would you like to go to Funky Fun House? It is an entertainment attraction.
That sounds great. Do you have a contact number for them?|Certainly, the phone number for the funky fun house is 01223304705. Is there anything else I can help you with today?
Yes, I'd also like to stay in an expensive place. It should be a hotel, not a guesthouse.|I have found 33 hotels for you to consider.  Would you like it be located in the East part of town?
No I need to find a hotel and book it for 7 people, for 4 nights, starting saturday|There is one hotel that fits your description, but it isn't available for 4 days.  Could you change arrival day or length of time?
How about one night?|Great, i have booked express by holiday inn cambridge for 7 people for 1 night starting Saturday. Your Reference number is : 5AGSV9JB. May I help with anything else?
i want a taxi to leave the hotel by 7:45. Please include contact number and car type|Sure I was able to book you a grey Volkswagen for 7:30 and your contact number is 07956540590.
Great. That is all I need. Have a great day. Goodbye.|Okay thank you.
I need to find a train out of King's Lynn that will arrive by 17:45.|Can you please provide me with destination of the train so I can better assist you?
Cambridge, and it will be on sunday.|I have train TR6003 leaving cambridge at 5:11 and arriving at 5:58 on sunday.
That sounds great. Can you book me 4 tickets on that train please?|Booking was successful, the total fee is 31.36 GBP payable at the station .
Reference number is : 8K88DU7K.
Awesome! I also need help finding a place to stay in the South. Not driving so don't need parking.|I have 4 options available.  Do you have a preference of guesthouse or hotel and price range?
I would like a hotel and my only preference, besides being in the south, is I would like it to have a 3 star rating please.|The Lensfield Hotel meets your criteria. Would you like me to book it?
Yes I'll need it for Sunday for 2 nights and 4 people.|You are booked for 2 night for 4 people starting Sunday at the Lensfield Hotel. Your reference # is ICM07YWC. Can I help you with anything else today?
That takes care of everything for me, thank you! Bye!|You are very welcome! Have a wonderful day, goodbye!
I'm looking to get on a train on Saturday.|From where to where?
I'm leaving from London Liverpool Street and I need to arrive in Cambridge by 09:30.|the TR2503 will get you to your destination at 9:07.
Perfect. Can you book that for me for 3 people?|Booking was successful, the total fee is 39.83 GBP payable at the station. Your reference number is YSVSLY1L. Is there anything else you need today?
I also need a hotel in the East.|Do you need parking at the hotel?
i am looking for a place to stay, a hotel maybe, that has free wifi and should be a 4-star|We have several that might suit you. The Cambridge Belfry is quite economically priced in the west, and there are also The Huntingdon Marriott and the University Arms.
I'm looking for a cheap one, which hotels fit into that price range?|The cambridge belfry is in the west and cheap. Would you like to me to book that for you?
What type of hotel is it and what is the postcode?|It is a regular hotel and the postcode is cb236bw. Would this one interest you?
Maybe, I'll decide once I get there. Speaking of which, can you help me with a train to Cambridge?|Sure I can help with that, what time would you like the tickets for and how many?
I'd like to leave after 10:30 and depart from birmingham new street on Tuesday.|Train TR0734 leaves at 12:40.  Can I book you a seat on it?
Yes, actually I'd like to book 7 seats on it.|Good news! Booking was successful, the total fee is 525.69 GBP payable at the station .Reference number is : N680OYGM. Is there anything else I can do for you?
I believe that will do it. Thanks for your help!|You're so welcome. Goodbye!
Is there a train that leaves to london liverpool street on friday? Thankyou.|There are several, do you have a specific time you'd like to leave or arrive?
Can you help me find a train to london liverpool street?|Train TR5154 leaves Friday to London Liverpool Street at 5:59 and arrives by 7:27. Would you like me to book this for you?
That works. I just need one ticket.|Your booking was successful, the total fee is 16.6 GBP payable at the station. Your reference number is: 0XOVBBAJ. Will there be anything else today?
Yes I need to find a guesthouse that has a 4 star rating, I hate dirty hotels, don't you?|What area would you like to be in?
I am interested in staying in the south.|I found 2 guesthouses in the South both have a 4 star rating. There are two price ranges cheap and moderate, which do you prefer?
I have no preference. I need to book a room for 2 nights starting wednesday.|I suggest rosa's b ed and breakfast. Would you like to book that?
Yes, please and let me know if the booking is successful.|How many people will be staying?
Just 1 will be staying there. I do need the reference number.|Your reference number is VFXJ5FEM.
Ok thank you that is all I needed.|Okay. Thank you for calling.
Hello, we're planning on a trip to Cambridge and would like lodging info.  Can you tell us if there is a hotel in the economical range near the centre?|Unfortunately, there are no economical hotels in the centre of Cambridge. Would you like to look in a different area?
Really? Not even a guest house?|Yes, there are no accommodations available that fit that criteria. Would you like to choose something else?
I'm looking for a cheap hotel in the centre.|There are two cheap guesthouses located in the centre.  My recommendation would be Alexander Bed and Breakfast.
Sounds great! Can you book it for 5 people and 4 nights starting from monday?|Your booking was successful at the Alexander bed and breakfast. The reference number is F9VVA2GL.
Thank, you goodbye|Welcome ,  have a lovely day too.
I am looking for a cheap hotel in Cambridge.|There are 10 hotels that meet your needs. Would you like to narrow it down by area?
i'm looking for the centre area.|The Alexander Bed and Breakfast has a four star rating and matches your specifications. Would you like to book a stay there?
No, I'm not sure but I would like their address and telephone number and can you tell me what star rating this hotel has?|It's a 4 star hotel. The address is 56 saint barnabas road and the phone number is 01223525725. Any else I can do for you?
Yes I would like to book it from Tuesday for 2 nights for 7 people. Can you do that for me and provide a reference number?|Booking was successful.Reference number is : NZXPP6O5.
Thanks! I'm also looking for a restaurant in the area that serves american food|I was not able to find any American restaurants in that area, do you have another type of food you would like?
What about Italian?|Certainly we have 9 Italian restaurants in this area, do you have a price range in mind?
I would like a table for 7 at 12:00 on Tuesday|Great. I have booked you at Zizzi Cambridge. The reference number is BRX4ES4L. Is there anything else I can help you with?
No. Thank you for your help!|You're welcome. Enjoy your stay in Cambridge!
I am looking for a hotel on the west side of Cambridge.|I have found 4 results for hotels in the west side.  Do you have a particular price range that you're looking for?
I would like a moderate rate please.|That would be hobsons house would you like to book that?
I would like to book a room at the hotel for 8 people for three nights please.|Certainly, what day you will be arriving?
I'll be starting on thursday.|Excellent, you're all set. The reference number is W4QYZ0UK.
Thank you.  Do you have information on City Stop Restaurant?|Yes. It is european cuisine located in the north area of town with and expensive price range.
Can you tell me their postcode?|Yes, the postcode is cb41uy.
Thank you that's all I needed|You're welcome. Have a good day!
I need a place to stay, some place with 4 stars and in the north.|There are number of moderately priced options and one that falls in the cheap price range. Do you have a price range in mind?
I would like one in the moderate range.|Archway House is a very nice 4 star guesthouse in the area that is moderately priced.  Would you like to book a stay?
I think that one works. No need to book.|Okay. Is there anything else I can help you with?
Yes, tell me if the Archway House has free parking and please get me their postcode|The postal code is cb43pe.  Yes, it does have free parking.  Is there something else I can assist you with?
Can you help me find a nightclub to visit somewhere in the north?|I don't have any in the north, but I have several in the centre. Would you like to try one of those?
No, I want to stay in the same area. How about a park?|There is one park in the north. Would you like the info?
Yes. Could I get the entrance fee and phone number please?|Sure! Milton County Park is free, and their phone number is 01223420060. Can I help you with anything else?
I also need a taxi. It should leave the hotel by 2:30 please.|I was able to find a taxi to take you from the hotel to the park. It will be a yellow volvo phone number is 07803372639.
That is all I needed today.|Thank you for contacting us and have a nice day.
I am looking for a place to stay, that is a 2 star hotel on the east side|express by holiday inn cambridge is a 2 star hotel in the east.
Is it expensive and does it have free parking?|It is expensive and it has free parking.
